City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
21,egvekinot,RU,66.3167,-179.1667,6.66,85,26,11.43,scattered clouds,2022-01-06 23:43:08
22,ahipara,NZ,-35.1667,173.1667,74.84,62,26,6.53,scattered clouds,2022-01-06 23:43:08
23,carnarvon,AU,-24.8667,113.6333,78.87,73,100,17.27,overcast clouds,2022-01-06 23:43:09
24,tiksi,RU,71.6872,128.8694,-8.91,83,100,8.14,overcast clouds,2022-01-06 23:43:09
25,ushuaia,AR,-54.8,-68.3,53.26,50,0,25.32,clear sky,2022-01-06 23:43:09
26,mataura,NZ,-46.1927,168.8643,56.48,48,64,6.2,broken clouds,2022-01-06 23:43:10
27,touros,BR,-5.1989,-35.4608,81.5,76,63,10.51,broken clouds,2022-01-06 23:43:10
28,batemans bay,AU,-35.7167,150.1833,81.19,84,100,9.71,light rain,2022-01-06 23:43:10
29,consett,GB,54.854,-1.8316,36.41,87,54,18.92,broken clouds,2022-01-06 23:43:10
30,puerto ayora,EC,-0.7393,-90.3518,78.76,80,86,8.79,overcast clouds,2022-01-06 23:43:11
31,cidreira,BR,-30.1811,-50.2056,69.87,68,57,13.38,broken clouds,2022-01-06 23:43:11
32,los negros,BO,-17.7333,-63.4333,89.73,71,65,3.89,broken clouds,2022-01-06 23:43:11
33,xichang,CN,27.8964,102.2634,39.02,83,40,1.9,scattered clouds,2022-01-06 23:43:12
34,arraial do cabo,BR,-22.9661,-42.0278,76.46,87,100,11.95,light rain,2022-01-06 23:43:12
35,salalah,OM,17.0151,54.0924,69.89,23,0,13.8,clear sky,2022-01-06 23:43:12
36,tasiilaq,GL,65.6145,-37.6368,41.16,60,100,34.47,overcast clouds,2022-01-06 23:43:12
37,youghal,IE,51.95,-7.8506,37.42,100,62,22.08,moderate rain,2022-01-06 23:43:13
